station_cd|station_nm|line_num
3136|인천대입구|인천선
3137|센트럴파크|인천선
3138|국제업무지구|인천선
3203|검단사거리|인천2호선
3204|마전|인천2호선
3205|완정|인천2호선
3206|독정|인천2호선
3207|검암|인천2호선
3208|검바위|인천2호선
3210|서구청|인천2호선
3211|가정|인천2호선
3212|가정중앙시장|인천2호선
3213|석남|인천2호선
3214|서부여성회관|인천2호선
3215|인천가좌|인천2호선
3216|가재울|인천2호선
3217|주안국가산단|인천2호선
3218|주안|인천2호선
3219|시민공원|인천2호선
3220|석바위시장|인천2호선
3221|인천시청|인천2호선
3222|석천사거리|인천2호선
3223|모래내시장|인천2호선
3224|만수|인천2호선
3225|남동구청|인천2호선
3226|인천대공원|인천2호선
3227|운연|인천2호선
4101|개화|09호선
4102|김포공항|09호선
4103|공항시장|09호선
4104|신방화|09호선
4105|마곡나루|09호선
3202|왕길|인천2호선
4106|양천향교|09호선
4107|가양|09호선
4108|증미|09호선
4109|등촌|09호선
4110|염창|09호선
4111|신목동|09호선
4112|선유도|09호선
4113|당산|09호선
4114|국회의사당|09호선
4115|여의도|09호선
4116|샛강|09호선
4117|노량진|09호선
4118|노들|09호선
4119|흑석|09호선
4120|동작|09호선
4121|구반포|09호선
4122|신반포|09호선
4123|고속터미널|09호선
4124|사평|09호선
4125|신논현|09호선
4127|선정릉|09호선
4128|삼성중앙|09호선
4129|봉은사|09호선
4130|종합운동장|09호선
4131|삼전|09호선
4132|석촌고분|09호선
4133|석촌|09호선
4134|송파나루|09호선
4135|한성백제|09호선
4136|올림픽공원|09호선
4137|둔촌오륜|09호선
4138|중앙보훈병원|09호선
4201|서울|공항철도
4202|공덕|공항철도
4203|홍대입구|공항철도
4204|디지털미디어시티|공항철도
4206|마곡나루|공항철도
4207|김포공항|공항철도
4208|계양|공항철도
4209|검암|공항철도
4210|청라국제도시|공항철도
4211|운서|공항철도
4212|공항화물청사|공항철도
4213|인천공항1터미널|공항철도
4215|인천공항2터미널|공항철도
4217|영종|공항철도
4307|강남|신분당선
4308|양재|신분당선
4309|양재시민의숲|신분당선
4310|청계산입구|신분당선
4311|판교|신분당선
4312|정자|신분당선
4313|미금|신분당선
4314|동천|신분당선
4315|수지구청|신분당선
4316|성복|신분당선
4317|상현|신분당선
4318|광교중앙|신분당선
4319|광교|신분당선
4502|강남대|용인경전철
4503|지석|용인경전철
4504|어정|용인경전철
4505|동백|용인경전철
4506|초당|용인경전철
4508|삼가|용인경전철
4509|시청.용인대|용인경전철
4510|명지대|용인경전철
4511|김량장|용인경전철
4512|운동장.송담대|용인경전철
4513|고진|용인경전철
4514|보평|용인경전철
4515|둔전|용인경전철
4517|전대.에버랜드|용인경전철
4601|발곡|의정부경전철
4602|회룡|의정부경전철
4603|범골|의정부경전철
4604|경전철의정부|의정부경전철
4605|의정부시청|의정부경전철
4606|흥선|의정부경전철
4607|의정부중앙|의정부경전철
4608|동오|의정부경전철
4609|새말|의정부경전철
4610|경기도청북부청사|의정부경전철
4611|효자|의정부경전철
4612|곤제|의정부경전철
4613|어룡|의정부경전철
4614|송산|의정부경전철
4615|탑석|의정부경전철
4701|북한산우이|우이신설경전철
4704|가오리|우이신설경전철
4702|솔밭공원|우이신설경전철
4703|4·19민주묘지|우이신설경전철
0233|대림|02호선
3209|아시아드경기장|인천2호선
0246|신설동|02호선
0247|도림천|02호선
0248|양천구청|02호선
0250|용두|02호선
1308|중랑|경춘선
1865|기흥|분당선
3201|검단오류|인천2호선
4707|삼양사거리|우이신설경전철
4708|솔샘|우이신설경전철
4709|북한산보국문|우이신설경전철
4710|정릉|우이신설경전철
4711|성신여대입구|우이신설경전철
4712|보문|우이신설경전철
4713|신설동|우이신설경전철
4804|소사|서해선
4805|소새울|서해선
4806|시흥대야|서해선
4807|신천|서해선
4808|신현|서해선
4809|시흥시청|서해선
4810|시흥능곡|서해선
4811|달미|서해선
4812|선부|서해선
4813|초지|서해선
4814|원곡|서해선
4815|원시|서해선
4920|양촌|김포도시철도
4921|구래|김포도시철도
4922|마산|김포도시철도
4923|장기|김포도시철도
4924|운양|김포도시철도
4925|걸포북변|김포도시철도
4926|사우(김포시청)|김포도시철도
4927|풍무|김포도시철도
4928|고촌|김포도시철도
4929|김포공항|김포도시철도
100C|용산|경의선
1846|수원|분당선
1952|화정|03호선
4126|언주|09호선
4501|기흥|용인경전철
0150|서울|01호선
0151|시청|01호선
0152|종각|01호선
4705|화계|우이신설경전철
4706|삼양|우이신설경전철
101C|회기|경의선
1265|가좌|경의선
